total 28
drwxr-xr-x 4 dam dam 4096 oct 30 17:05 .
drwxrwxr-x 5 dam dam 4096 oct 28 17:17 ..
-rw-r--r-- 1 dam dam   37 sep 30 15:13 .gitignore
-rw-r--r-- 1 dam dam 2085 oct 23 16:53 pom.xml
-rw-r--r-- 1 dam dam 1490 oct  7 15:32 README.md
drwxr-xr-x 4 dam dam 4096 sep 30 16:13 src
drwxrwxr-x 7 dam dam 4096 oct 30 17:05 target
USER         PID %CPU %MEM    VSZ   RSS TTY      STAT START   TIME COMMAND
root           1  0.0  0.0  23240 13736 ?        Ss   16:22   0:01 /sbin/init splash
root          28  0.0  0.0      0     0 ?        S    16:22   0:00 [idle_inject/2]
root          29  0.0  0.0      0     0 ?        S    16:22   0:00 [migration/2]
root          30  0.0  0.0      0     0 ?        S    16:22   0:00 [ksoftirqd/2]
root          31  0.0  0.0      0     0 ?        I    16:22   0:00 [kworker/2:0-cgroup_destroy]
root          32  0.0  0.0      0     0 ?        I<   16:22   0:00 [kworker/2:0H-events_highpri]
root          33  0.0  0.0      0     0 ?        S    16:22   0:00 [cpuhp/3]
root          34  0.0  0.0      0     0 ?        S    16:22   0:00 [idle_inject/3]
root          35  0.0  0.0      0     0 ?        S    16:22   0:00 [migration/3]
root          36  0.0  0.0      0     0 ?        S    16:22   0:00 [ksoftirqd/3]
root          38  0.0  0.0      0     0 ?        I<   16:22   0:00 [kworker/3:0H-events_highpri]
root          39  0.0  0.0      0     0 ?        S    16:22   0:00 [cpuhp/4]
root          40  0.0  0.0      0     0 ?        S    16:22   0:00 [idle_inject/4]
root          41  0.0  0.0      0     0 ?        S    16:22   0:00 [migration/4]
root          42  0.0  0.0      0     0 ?        S    16:22   0:00 [ksoftirqd/4]
root          44  0.0  0.0      0     0 ?        I<   16:22   0:00 [kworker/4:0H-events_highpri]
root          45  0.0  0.0      0     0 ?        S    16:22   0:00 [cpuhp/5]
root          46  0.0  0.0      0     0 ?        S    16:22   0:00 [idle_inject/5]
root          47  0.0  0.0      0     0 ?        S    16:22   0:00 [migration/5]
root          48  0.0  0.0      0     0 ?        S    16:22   0:00 [ksoftirqd/5]
root          50  0.0  0.0      0     0 ?        I<   16:22   0:00 [kworker/5:0H-events_highpri]
root          51  0.0  0.0      0     0 ?        S    16:22   0:00 [cpuhp/6]
root          52  0.0  0.0      0     0 ?        S    16:22   0:00 [idle_inject/6]
root          53  0.0  0.0      0     0 ?        S    16:22   0:00 [migration/6]
root          54  0.0  0.0      0     0 ?        S    16:22   0:00 [ksoftirqd/6]
root          56  0.0  0.0      0     0 ?        I<   16:22   0:00 [kworker/6:0H-events_highpri]
root          57  0.0  0.0      0     0 ?        S    16:22   0:00 [cpuhp/7]
root          58  0.0  0.0      0     0 ?        S    16:22   0:00 [idle_inject/7]
root          59  0.0  0.0      0     0 ?        S    16:22   0:00 [migration/7]
root          60  0.0  0.0      0     0 ?        S    16:22   0:00 [ksoftirqd/7]
root          62  0.0  0.0      0     0 ?        I<   16:22   0:00 [kworker/7:0H-events_highpri]
root          63  0.0  0.0      0     0 ?        S    16:22   0:00 [cpuhp/8]
root          64  0.0  0.0      0     0 ?        S    16:22   0:00 [idle_inject/8]
root          65  0.0  0.0      0     0 ?        S    16:22   0:00 [migration/8]
root          66  0.0  0.0      0     0 ?        S    16:22   0:00 [ksoftirqd/8]
root          68  0.0  0.0      0     0 ?        I<   16:22   0:00 [kworker/8:0H-events_highpri]
root          69  0.0  0.0      0     0 ?        S    16:22   0:00 [cpuhp/9]
root          70  0.0  0.0      0     0 ?        S    16:22   0:00 [idle_inject/9]
root          71  0.0  0.0      0     0 ?        S    16:22   0:00 [migration/9]
root          72  0.0  0.0      0     0 ?        S    16:22   0:00 [ksoftirqd/9]
root          74  0.0  0.0      0     0 ?        I<   16:22   0:00 [kworker/9:0H-events_highpri]
root          75  0.0  0.0      0     0 ?        S    16:22   0:00 [cpuhp/10]
root          76  0.0  0.0      0     0 ?        S    16:22   0:00 [idle_inject/10]
root          77  0.0  0.0      0     0 ?        S    16:22   0:00 [migration/10]
root          78  0.0  0.0      0     0 ?        S    16:22   0:00 [ksoftirqd/10]
root          80  0.0  0.0      0     0 ?        I<   16:22   0:00 [kworker/10:0H-events_highpri]
root          81  0.0  0.0      0     0 ?        S    16:22   0:00 [cpuhp/11]
root          82  0.0  0.0      0     0 ?        S    16:22   0:00 [idle_inject/11]
root          83  0.0  0.0      0     0 ?        S    16:22   0:00 [migration/11]
root          84  0.0  0.0      0     0 ?        S    16:22   0:00 [ksoftirqd/11]
root          86  0.0  0.0      0     0 ?        I<   16:22   0:00 [kworker/11:0H-events_highpri]
root          89  0.0  0.0      0     0 ?        S    16:22   0:00 [kdevtmpfs]
root          90  0.0  0.0      0     0 ?        I<   16:22   0:00 [kworker/R-inet_]
root          92  0.0  0.0      0     0 ?        S    16:22   0:00 [kauditd]
root          96  0.0  0.0      0     0 ?        S    16:22   0:00 [khungtaskd]
root          97  0.0  0.0      0     0 ?        S    16:22   0:00 [oom_reaper]
root          99  0.0  0.0      0     0 ?        I<   16:22   0:00 [kworker/R-write]
root         100  0.0  0.0      0     0 ?        S    16:22   0:00 [kcompactd0]
root         101  0.0  0.0      0     0 ?        SN   16:22   0:00 [ksmd]
root         102  0.0  0.0      0     0 ?        SN   16:22   0:00 [khugepaged]
root         103  0.0  0.0      0     0 ?        I<   16:22   0:00 [kworker/R-kinte]
root         104  0.0  0.0      0     0 ?        I<   16:22   0:00 [kworker/R-kbloc]
root         105  0.0  0.0      0     0 ?        I<   16:22   0:00 [kworker/R-blkcg]
root         106  0.0  0.0      0     0 ?        S    16:22   0:00 [irq/9-acpi]
root         107  0.0  0.0      0     0 ?        I    16:22   0:00 [kworker/6:1-mm_percpu_wq]
root         109  0.0  0.0      0     0 ?        I<   16:22   0:00 [kworker/R-tpm_d]
root         110  0.0  0.0      0     0 ?        I<   16:22   0:00 [kworker/R-ata_s]
root         111  0.0  0.0      0     0 ?        I<   16:22   0:00 [kworker/R-md]
root         112  0.0  0.0      0     0 ?        I<   16:22   0:00 [kworker/R-md_bi]
