USER         PID %CPU %MEM    VSZ   RSS TTY      STAT START   TIME COMMAND
root           1  0.0  0.0  23236 13580 ?        Ss   15:26   0:01 /sbin/init splash
root        2216  2.0  0.4 1265444 130512 tty7   Ssl+ 15:26   3:46 /usr/lib/xorg/Xorg -core :0 -seat seat0 -auth /var/run/lightdm/root/:0 -nolisten tcp vt7 -novtswitch
root        2219  0.0  0.0  11320  1920 tty1     Ss+  15:26   0:00 /sbin/agetty -o -p -- \u --noclear - linux
root        2228  0.0  0.0      0     0 ?        I    15:26   0:00 [nfsd]
root        2229  0.0  0.0      0     0 ?        I    15:26   0:00 [nfsd]
root        2230  0.0  0.0      0     0 ?        I    15:26   0:00 [nfsd]
root        2231  0.0  0.0      0     0 ?        I    15:26   0:00 [nfsd]
root        2232  0.0  0.0      0     0 ?        I    15:26   0:00 [nfsd]
root        2233  0.0  0.0      0     0 ?        I    15:26   0:00 [nfsd]
root        2234  0.0  0.0      0     0 ?        I    15:26   0:00 [nfsd]
root        2235  0.0  0.0      0     0 ?        I    15:26   0:00 [nfsd]
root        2302  0.0  0.0 228108 26368 ?        Ss   15:26   0:00 /usr/sbin/apache2 -k start
www-data    2319  0.0  0.0 228752 12624 ?        S    15:26   0:00 /usr/sbin/apache2 -k start
www-data    2320  0.0  0.0 228752 12624 ?        S    15:26   0:00 /usr/sbin/apache2 -k start
www-data    2321  0.0  0.0 228752 12624 ?        S    15:26   0:00 /usr/sbin/apache2 -k start
www-data    2323  0.0  0.0 228752 12624 ?        S    15:26   0:00 /usr/sbin/apache2 -k start
www-data    2324  0.0  0.0 228752 12624 ?        S    15:26   0:00 /usr/sbin/apache2 -k start
libvirt+    2359  0.0  0.0  11484  2092 ?        S    15:26   0:00 /usr/sbin/dnsmasq --conf-file=/var/lib/libvirt/dnsmasq/default.conf --leasefile-ro --dhcp-script=/usr/lib/libvirt/libvirt_leaseshelper
root        2360  0.0  0.0  11484  1068 ?        S    15:26   0:00 /usr/sbin/dnsmasq --conf-file=/var/lib/libvirt/dnsmasq/default.conf --leasefile-ro --dhcp-script=/usr/lib/libvirt/libvirt_leaseshelper
root        2414  0.0  0.0      0     0 ?        I<   15:26   0:00 [kworker/u69:1-ttm]
rtkit       2456  0.0  0.0  22940  3456 ?        SNsl 15:26   0:00 /usr/libexec/rtkit-daemon
root        2534  0.0  0.0 320168  9728 ?        Ssl  15:26   0:00 /usr/libexec/upowerd
root        2908  0.0  0.0 236248  9168 ?        Sl   15:26   0:00 lightdm --session-child 13 20
root        3202  0.0  0.0 1238360 13948 ?       Sl   15:26   0:00 /usr/bin/containerd-shim-runc-v2 -namespace moby -id 5df934926b0f1fcae370ac4d81a091d31014ed4fc6bbd199b02e9a4020afa491 -address /run/containerd/containerd.sock
root        3224  0.0  0.0 223476 29440 ?        Ss   15:26   0:00 apache2 -DFOREGROUND
root        3297  0.0  0.0 1745340 4096 ?        Sl   15:26   0:00 /usr/bin/docker-proxy -proto tcp -host-ip 0.0.0.0 -host-port 8000 -container-ip 172.24.0.2 -container-port 80 -use-listen-fd
root        3303  0.0  0.0 1745340 4352 ?        Sl   15:26   0:00 /usr/bin/docker-proxy -proto tcp -host-ip :: -host-port 8000 -container-ip 172.24.0.2 -container-port 80 -use-listen-fd
www-data    3338  0.0  0.0 223508  8704 ?        S    15:26   0:00 apache2 -DFOREGROUND
www-data    3339  0.0  0.0 223508  8704 ?        S    15:26   0:00 apache2 -DFOREGROUND
www-data    3340  0.0  0.0 223508  8704 ?        S    15:26   0:00 apache2 -DFOREGROUND
www-data    3341  0.0  0.0 223508  8704 ?        S    15:26   0:00 apache2 -DFOREGROUND
www-data    3342  0.0  0.0 223508  8704 ?        S    15:26   0:00 apache2 -DFOREGROUND
dam         3376  0.0  0.0  20628 11648 ?        Ss   15:26   0:00 /usr/lib/systemd/systemd --user
